"","X1","X","C1","C2","Ylin1","Ylin2","Ylin3","Ylin4","Ybin1","Ybin2","Ybin3","Ybin4","Ybin5"
"79",79,0,0.228368100408284,0.111202947643282,0.885430052876046,0.00999788496188022,0.608052766765034,-0.0414321038565141,1,1,0,0,0
"80",80,1,-0.371598245812837,1.17933054551392,0.519904546304466,-0.801336053321996,-0.51838978278032,-0.685384106765095,0,1,0,0,0
"81",81,1,0.740827203810715,-0.807416844013942,-0.0571110139359016,1.03241160797439,0.575737454726774,0.160165190814042,0,1,1,1,0
"82",82,0,-0.932943908305863,1.44577946940926,-0.149648265986444,-0.218814653420503,1.24105065374578,-1.19615203409455,0,1,1,1,0
"83",83,1,1.02409453158536,0.621591047434026,0.795238750002299,-1.16271654000188,-0.919260040710708,0.671806207368822,1,1,0,1,0
"84",84,1,-0.334313637528243,-0.994313046294293,0.782834821193027,-1.57604230157498,-0.2849906065935,-0.14415988684027,1,0,1,1,0
"85",85,0,-0.255105534430202,1.63383581766217,0.484711007485041,-0.199566665909354,-0.315150001432354,-0.439064086354451,1,0,1,1,1
"86",86,0,0.892539732164911,0.968277545824679,-0.520417864329824,-1.29341650785621,0.221185803057785,0.823322699702543,1,1,1,0,0
"87",87,1,0.878789952152524,-1.39442080507504,0.329584409440608,0.696351643071016,-1.68620054408281,0.984948261072522,1,1,0,1,0
"88",88,1,-2.23326344395069,1.50427799425863,1.19372453533357,1.02767984298478,-0.52957414852074,-0.564782462800147,1,0,1,1,0
"89",89,1,-1.08581819986293,0.0765336849420149,-1.65005824959169,0.29696489828527,-1.49612152363251,-0.595872562548928,0,0,0,0,0
"90",90,1,-1.46246394674193,1.53575550128538,0.395426705185515,-1.12313599144974,-0.929953301689455,0.0344856305338959,0,0,1,0,0
"91",91,1,-0.0602312762500259,0.709189196217905,-1.34093912250585,-0.309737226192646,1.44698765795345,0.738152355359347,0,1,0,0,0
"92",92,1,0.792247752302191,1.26927185788337,0.307737799154352,0.6607681138895,-0.721183985258585,2.02378680651288,0,1,1,1,1
"93",93,1,-0.634341353950536,-0.776635585097217,-0.324114230546626,-1.99760254492715,-1.64941089660155,-1.52986374625501,0,1,0,0,0
"94",94,0,-0.312644297828433,0.674594661281584,-1.55644227873688,-0.846825820105651,-0.541101880139526,1.62847806712984,0,1,1,1,0
"95",95,1,-0.638343532694565,-1.119666562693,0.152760348378581,0.68634754119302,-1.96155615807039,-1.26301902976208,0,1,0,0,0
"96",96,1,-1.10404313452792,-3.00547560557902,-2.83362215114058,0.235354831318764,0.777937861798464,-1.86942256359674,0,0,0,0,0
"97",97,0,0.161751832123642,-0.150525041172762,-0.66570080517628,0.459856507504827,-0.906982197736223,-0.257544883279716,0,0,0,0,0
"98",98,0,0.29366351225343,-0.744913869552615,1.49509116572348,-0.71902158117304,-0.38219006861037,-0.291746752000025,0,0,0,1,0
"99",99,0,-0.387048686180659,-0.938540484047289,0.679066081078181,0.155699746087577,0.653137719854187,-0.0994737168690253,1,1,0,1,0
"100",100,1,-0.184303275867662,0.530962029039587,-0.531690013660251,0.542028036412845,-0.744495147265763,-1.64571395088248,0,1,0,1,0
"101",101,0,-1.50819523311161,-1.56855883543469,0.0807916330110606,-1.22889088056236,1.16743515549032,1.64311146041678,1,1,1,1,0
"102",102,1,0.0591566446330937,-0.560841677395674,0.212921262958894,-0.184982605586311,-1.6485871235644,-0.614820962625275,1,0,0,0,0
"103",103,0,-0.206652345254575,0.0420419567689172,-2.1097763605685,0.497311362101872,0.383664382301082,0.513020225036353,1,1,0,0,0
"104",104,1,0.72895412842792,0.867643509893609,0.307599608944649,-0.267929750478756,0.931063883301968,0.288985214120296,0,0,0,0,0
"105",105,1,1.76241576950457,-1.45787770525802,1.943810276729,0.762879905332228,0.293781215964315,1.63826275073674,1,1,1,0,0
"106",106,1,-0.395199176397326,-0.88134226372588,0.193473546449967,0.0149775749856526,1.37375412322293,0.784516770660209,0,0,0,0,0
"107",107,1,0.326360926322023,-1.27480641357545,0.207019961439195,-0.352872097794765,-0.3687049026508,-1.7013847009259,1,0,1,1,0
"108",108,0,0.288313962541416,0.0944814092696758,-0.0981699329481667,1.03375548791634,1.14036072530617,-0.811330842253653,0,0,0,0,0
"109",109,1,0.16391767972259,1.13456695951827,-0.024061220010625,-0.378790279778352,1.00785867066338,-0.14380788740606,0,1,1,0,0
"110",110,0,-0.298690968149499,0.228411682892738,-0.719021127405239,0.07238706300378,0.426869473078987,-0.325215146271748,0,0,1,0,0
"111",111,1,0.729081973970931,0.293585876165741,-0.823873999777482,-0.78419071236398,1.03704076833644,0.363215304849518,1,1,1,0,0
"112",112,0,-0.153231564746083,-0.5799322326454,-1.00197906365375,-1.42045794059699,1.32258779689675,1.13601643647319,1,1,0,1,0
"113",113,1,2.73870926842372,1.45289466489681,1.21484739130615,-1.17724138133923,1.23768983067333,0.304531781581588,0,0,1,1,0
"114",114,1,-0.453721764318882,0.302681462416301,1.08835449148135,0.372112252941068,0.037080377625632,0.223713853345524,0,1,1,1,0
"115",115,0,-0.368256348048279,-0.820147574523914,-0.408917043334078,-0.664013002659735,1.36191942031148,-0.233759669040948,0,0,1,0,0
"116",116,1,0.584569173007947,0.33397125212917,1.33689916453076,-1.27031248671408,0.531535089680619,0.00529135468800088,0,0,1,0,0
"117",117,0,-0.567912230154574,-1.0971230612239,-0.858891008870334,-0.414785888401256,0.477600978671275,-0.992259741832494,1,0,0,0,0
"118",118,0,-1.65617813379258,0.103193121229783,-0.465706853953104,0.138674177328512,-0.222496468818317,0.858392517267358,1,1,1,0,0
"119",119,0,0.829419332422282,-1.44757550114536,-0.065992289851027,-0.380351372740614,0.291837757889287,0.325282206760233,1,1,1,1,0
"120",120,1,-0.979977855027636,-0.889312492960508,1.48601659081442,0.57243520701676,2.56003592232972,0.453456369623536,1,1,0,1,0
"121",121,1,-1.19782311406173,-0.760078165602882,-1.01474493759488,0.118127323089758,-0.128563956585872,2.08872874416614,0,1,1,0,0
"122",122,1,0.995571444838643,-0.611889217520618,1.93606863474441,-0.564456006409897,0.600367480096345,0.426873774760152,0,1,0,0,0
"123",123,1,-1.13761060679406,-1.47777234609764,0.723131047152703,-2.60962208936707,-0.502937087895275,-0.859696305392702,1,0,0,0,0
"124",124,1,-1.08251240313574,-0.860949139477539,-0.314989431854144,0.373521216926096,1.77436013165602,0.170989639139375,1,0,0,0,0
"125",125,0,-1.06131155585788,-0.0874131428858492,1.1104870799534,0.29946788029927,-0.717526119501672,1.31577457855126,1,1,1,1,0
"126",126,0,-1.46744041930662,-1.40272216207152,1.09356273620364,-0.294702287245484,0.498506902109437,0.0183502425308445,1,1,1,1,0
"127",127,0,-1.04201548836934,0.112955466795117,-1.51535860367776,-0.633801550909163,-1.22574295224104,-1.03403068310052,1,0,0,1,0
"128",128,1,1.21412171561791,-0.0682995282927094,-0.45269103736641,1.10393486492043,-0.388614878866052,0.464023157563403,1,1,1,1,0
"129",129,0,-2.00059293904525,2.53248820733091,2.07369424932318,0.294362070469368,2.01271218156754,-0.212878078167639,1,0,1,0,0
"130",130,0,0.351399482352408,0.060290069639259,-0.665307166427876,-0.939474168619438,-0.470690793390301,-0.230908325562999,0,1,0,1,0
"131",131,1,-0.552912539102718,-1.5999791120808,2.24741267800193,0.0560393892853673,1.11230138664562,-0.670919554723763,1,1,1,0,0
"132",132,0,1.16480376695171,0.379049494352837,-0.282594578639764,-0.250500800688382,0.462514748865924,-1.90660085129936,1,0,0,1,0
"133",133,0,1.39420656903978,-0.543450466931149,0.0508398693073969,1.06198493402682,0.68576627100379,-0.401283595835709,0,0,0,1,0
"134",134,1,-0.856583005640412,-1.30201180338691,0.954979293253814,0.287274786277237,-1.01255486918284,-0.610136032133051,1,1,0,0,0
"135",135,1,0.366889282635034,-1.25829212310519,-0.754484809375325,-1.8180286113395,0.510357078137198,-1.32861235221514,0,0,1,0,0
"136",136,1,-0.876992262313131,0.157892702023938,-0.0335769116362434,-0.590890074418299,0.0634890494027328,-0.557887662514364,0,1,0,1,0
"137",137,0,-0.636096580685918,0.448821103963823,1.01236717736218,0.93278730400187,0.102858531975656,-0.649267449288546,1,1,0,1,0
"138",138,1,-0.113107680978724,-0.652058604435863,-0.302145710245984,0.594226944284055,-0.0445815096050771,0.953292263063139,1,1,0,1,0
"139",139,1,-0.458328864465871,-1.09824022058052,1.18452420463038,0.232227583003878,0.695415315079033,1.24972443617969,0,1,0,1,0
"140",140,1,-0.220959771889566,-1.89167053297022,-0.320008774161146,-1.54720843306117,-0.830930914031336,-1.89319352768612,0,1,1,0,0
"141",141,1,1.77280069787162,0.0703572116588427,1.04930339118275,0.938584601363457,0.632290623665653,-0.398713046912978,1,0,0,1,1
"142",142,1,-0.457574347480484,-1.90080673522721,-0.148761564939407,0.589390198010898,0.453373998721044,-0.0954347300402853,1,1,1,1,0
"143",143,1,1.30506744797498,0.419654745931082,-0.214629662912046,-0.17473596945569,0.0659533329328511,-1.25311620100449,0,1,0,0,0
"144",144,1,-1.09646769009815,0.107158575872599,-0.0616647822126602,1.8747948011646,-0.999864181628658,0.886065521025422,0,1,1,0,0
"145",145,1,0.793523971754905,1.82161060629214,0.256542940897378,0.190303551334457,-0.37067393890152,1.84077674207048,0,0,1,1,0
"146",146,1,-1.45877103160323,-0.28026792878215,-1.18542227801659,0.262927765843659,-0.845124012221499,0.631674376930377,1,0,0,1,0
"147",147,1,0.0218287371175578,0.911642637422597,1.87544082258423,0.759110302421302,-0.42679765967101,-0.0792245374456936,0,0,1,0,0
"148",148,1,1.82760869350285,0.0151437246592179,-0.331669016371403,-1.68697640152856,0.113544477914496,0.695901711558011,0,0,0,0,0
"149",149,0,-2.07976857021643,0.312580150202479,-0.119136702921139,0.849286329880326,0.341331512319866,1.4922510671419,1,0,1,1,0
"150",150,1,-1.4456257059571,-0.768968808590819,-0.905559058525433,-1.37878207077761,0.913030661202243,0.0637597573957261,1,1,0,1,0
"151",151,0,0.40137009397677,-0.335556336648857,-0.606144265520585,0.480658468431369,-0.111912460665663,-1.02241396567364,1,0,1,0,0
"152",152,0,1.43119215637757,1.24752707565561,-0.365955809870626,0.0807785165921009,-0.948944229840987,-0.82218384662912,1,1,1,1,0
"153",153,0,-0.934955688643606,0.378101586856317,1.09731813653408,0.930246830549313,1.29706631469055,-1.19781551900275,1,1,1,1,0
"154",154,0,-0.794067110054826,1.47700804322528,0.597361852426466,0.894955687118966,-0.434601385723777,1.7370245377587,1,0,0,1,0
"155",155,0,0.679153397303485,1.46281234364155,0.370935085023347,-1.68442012784765,-0.503581966131222,-2.05515717858129,1,1,0,1,0
"156",156,1,0.348136214831882,-1.10977822064858,1.11811391670819,-0.840106222424147,-0.0147878771062982,-0.92026734075082,1,0,0,1,0
"157",157,0,-0.290765267538469,0.924342130371177,-0.644352853792791,-0.189622906101095,0.136059010487242,0.662357978656892,0,0,1,1,0
"158",158,0,0.401722019336461,0.821578178970359,0.487511965241766,-0.144831676054281,1.6312333864963,0.238570192347771,0,1,1,0,0
"159",159,0,-1.17533935068967,-1.16872119251254,-0.977661796520375,-1.29989965914865,-0.297056629599989,-1.51772162279054,1,1,0,0,0
"160",160,0,0.614456027510574,0.824291697427841,-1.35150581005491,-0.553665164592929,-0.25929599747188,0.919984127880835,1,0,1,0,0
"161",161,1,-0.814330448097277,-0.801423131557142,1.16453081359412,-0.685142579313237,2.41054702463147,-0.708181346794334,1,1,0,0,0
"162",162,0,0.954608698977471,0.313425712457633,-1.7598820097266,-1.21728367494728,-1.12696997340092,-0.204975118194062,0,0,0,0,0
"163",163,1,0.146236087948253,-0.204942524771348,-2.86488027966663,2.06427123816371,-0.300050279895521,-1.23277446549293,0,1,0,0,0
"164",164,1,-1.15346573729388,-0.128195596942804,-0.0127294689390362,1.66706678427362,0.715816543676451,-0.065870507768955,0,0,0,1,0
"165",165,0,-0.306797909780487,0.0189633063432594,-0.418976250258269,-0.567926362348816,-0.19115974158294,-1.3105362484533,0,0,1,0,0
"166",166,0,0.826391009670673,-1.2692252579778,-0.134147848597678,-0.386706502630492,0.132819914881145,-0.048431802828219,1,0,0,1,0
"167",167,0,-0.571127098619426,1.00958242992576,-2.55707686487333,0.0985237379962864,0.291095634012701,2.00448441708684,0,0,1,1,0
"168",168,1,0.742012260387664,-0.503339467799033,1.49007685550542,0.270911239905153,-0.133154253510637,0.729816720376946,0,1,0,1,0
"169",169,0,-0.720006764858079,0.65862806229251,-0.820274578547545,1.4223843125657,-0.171952289464932,-2.98195234642561,1,0,1,0,0
"170",170,1,1.32828724744328,0.2633720495249,0.764192996031938,-0.506512968920262,-0.341885244084148,0.805969079194051,1,0,1,1,0
"171",171,0,0.137442962476178,-0.445423458666378,-0.473264418515174,0.722601686318311,0.208661551574433,-0.360758836830715,1,1,0,0,0
"172",172,1,-1.38496515833903,0.863935797922272,1.17726914920256,0.180095464706366,0.658859045394745,-0.153080204878463,1,1,1,1,0
"173",173,1,1.14986313759121,1.60722912154139,-1.03489494248601,0.834781182224928,0.903224885239196,-1.8655750153547,0,0,0,0,0
"174",174,1,-1.3713216224757,0.757636597316924,0.548787131708588,0.259102400130233,0.883294471328911,0.00540508601509532,0,1,1,1,0
"175",175,0,0.328654181111716,0.898459883041124,0.865477131098727,-0.173119069155721,-1.0264356778751,-0.615281295286668,0,0,0,0,0
"176",176,1,-0.964947781845293,-1.15835982448867,0.113593933562123,0.180759351401177,0.493051170809098,1.24315683334477,0,1,0,1,0
"177",177,1,0.360748762054163,-0.998592131893439,0.729386907903886,-0.15182838196714,-0.187316695335891,1.73285132639666,0,1,0,0,0
"178",178,1,0.383391241042394,1.57847448055946,-0.0446602588667438,2.10526718766536,1.13025200010855,2.0755624327727,1,1,1,1,0
"179",179,1,0.804068229317616,0.18934606080614,0.287957671504497,0.758905109620481,0.00216815801171821,1.05031319822254,1,1,1,1,0
"180",180,0,0.126844605909179,-0.159890955876509,-1.03671859277614,-0.0802006977055054,-0.246989666317219,-1.0751957384645,0,0,0,1,0
"181",181,0,0.000844139257848028,0.233623199618857,1.58806681568696,-0.402934788081221,0.250493459828896,-0.862349907655897,1,0,1,1,0
"182",182,1,-1.5381316530583,0.670488410449827,1.34039716105266,-0.226968098338628,0.350591559854205,0.220879907455209,0,1,0,0,0
"183",183,1,-0.142189629048052,-0.203074525233563,-1.00686813193107,-0.596095673916251,-1.90016476478047,0.594394503579561,1,0,0,0,0
"184",184,0,1.36821298312457,0.16599668107208,1.07076925248708,1.03353895286637,1.42301087453328,-0.334473135895344,0,1,1,1,1
"185",185,0,0.331929350341361,0.494189672421723,-0.72484571211288,0.309719971525648,1.0712736773608,0.744297126670274,0,0,1,1,0
"186",186,0,0.71211866090253,-1.45972629863965,1.73432760832485,0.411376416009511,-1.243487475368,0.956390195541696,1,1,0,0,0
"187",187,0,-0.835259170825199,-1.24019080799124,-1.04954472828356,-1.02084811599653,-0.380095569376003,0.15146465239954,0,0,1,1,0
"188",188,1,0.76625107472195,-0.766782412484752,0.585996633713787,0.875104437008784,0.421942039879291,0.354460975731217,1,1,1,1,0
"189",189,0,-1.06391385562447,0.103066656322981,-1.15588834954184,-0.6156874767501,0.871599570526415,0.995878930735431,1,0,1,0,0
"190",190,1,0.161630008761923,-0.685663651971721,-0.232366923369705,0.933210357713837,0.854202722194151,-1.26696067127349,1,0,0,0,0
"191",191,1,1.84149747725189,1.01686153347457,0.0759398133696117,-0.522507601232676,-1.8134268945094,-2.08711692092724,0,0,0,0,0
"192",192,1,0.818664001248192,0.245959181388274,-1.41121126220674,1.51666128069616,-0.495916072411964,-0.301019766279094,1,1,0,1,0
"193",193,0,-0.880816222200008,2.70883417638869,-0.981687866952551,-1.75774945419074,-0.212935181938805,0.0218789999609918,1,0,0,1,0
"194",194,0,0.977767615299473,-0.202621774089635,-0.404838739627768,-0.514968035282291,0.374667725053897,0.812448256177961,0,0,0,1,0
"195",195,1,-0.330729472523211,1.29731103617533,1.76557934330174,0.470347806790601,0.455582256367197,-0.327131528184889,0,0,0,1,0
"196",196,0,-1.0952809769178,0.391720122171784,-0.627391951315732,0.853557980616387,0.816511573442217,-1.00069576902086,0,0,1,0,0
"197",197,0,0.0620549784942668,-1.09369830043581,0.87399944989042,1.55698876982083,0.933429911026566,1.28175372075877,0,1,0,1,0
"198",198,1,0.395521549195547,1.29484306588072,1.26749542053465,-0.35445160274406,-0.595936946981252,-1.90090506054732,1,0,0,0,0
"199",199,0,-0.963006420867391,-0.676073707168997,0.100158183949434,-0.589296764384156,-0.32275417616396,0.835989735757967,1,1,0,1,0
"200",200,0,0.576015170534573,-1.50977718841513,1.9389663378585,1.05412014821125,-0.740956930102164,-0.853708412599606,0,0,1,1,0
"201",201,0,0.493225635041826,-0.476522769190185,0.259312672729196,0.24146937745006,0.652279157856464,1.35092959508787,1,1,0,1,0
"202",202,1,0.0176858809689004,0.382650675807546,2.35435843422167,1.13379866361125,-0.0637389109668982,0.633232794373335,0,1,1,1,0
"203",203,1,1.26108608088435,0.390046317882446,1.01590049456273,1.97748742770551,-0.230334486574623,2.27260005687701,1,1,1,0,0
